Missing data from input file MIRNeestimator_2019.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_MIR_003]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
     266           55             0000            29
     267            4             0000            75
     268            4             0000            45
     269            4             0000            80
     270           72             0000            50
     271            4             0000            41
     272            4             0000            62
     273            4             0000            65
     274           48             0000            48
     275            4             0000           365
     276            4             0000            55
     277            4             0000            44
     278            4             0000            51
     279            4             0000            59
     280           72             0000            48
     281            4             0000            77
     282            4             0000            89
     283            4             0000            98
     284            4             0000            94
     285            4             0000            55
     286            4             0000           135
     287            4             0000            87
     288            9             0000            95
     289            9             0000           101
     290            4             0000            75
     291            4             0000            70
     292            4             0000            69
     293            4             0000            64
     294            4             0000           111
     295            4             0000            55
     296            4             0000            87
     297            4             0000            86
     298            4             0000            80
     299            4             0000            72
     300            4             0000            66
     301            4             0000            62
     302           72             0000            42
     303            4             0000            54
     304            4             0000            68
     305            9             0000            39
     306            4             0000            68
     307            4             0000            61
     308            4             0000           151
     309            4             0000            55
     310           72             0000            62
     311            9             0000            46
     312            4             0000            68
     313           48             0000            90
     314            4             0000           102
     315           72             0000            52
     316            4             0000            83
     317            9             0000            47
     318            4             0000            84
     319            4             0000           100
     320            9             0000            61
     321            9             0000            64
     322            4             0000            54
     323           72             0000            42
     324            4             0000            57
     325           72             0000            47
     326            4             0000           136
     327            4             0000            90
     328            4             0000           103
     329            4             0000            94
     330            4             0000            80
     331            4             0000            85
     332            4             0000           118
     333            4             0000           146
     334            4             0000           125
     335            4             0000           132
     336            4             0000            93
     337            4             0000            62
     338            2             0000           144
     339            4             0000            86
     340            4             0000           173
     341            4             0000            85
     342            4             0000           106
     343            4             0000            83
     344            4             0000           154
     345            4             0000           100
     346            4             0000           100
     347            4             0000           105
     348            4             0000           144
     349            4             0000           145
     350            4             0000            86
     351            4             0000           148
     352            4             0000            97
     353            4             0000           218
     354            4             0000           155
     355            4             0000           147
     356            4             0000            97
     357            4             0000            72
     358            4             0000            67
     359            4             0000           136
     360            4             0000            86
     361            4             0000            64
     362            2             0000            76
     363            4             0000           348
     364            2             0000           152
     365            4             0000           118
     366            4             0000           109
     367            4             0000            86
     368            4             0000           117
     369            4             0000            74
     370            4             0000           182
     371            4             0000            99
     372            4             0000           146
     373           22             0000            64
     374            9             0000            60
     375            4             0000            51
     376            4             0000            49
     377            4             0000            59
     378           48             0000            51
     379            4             0000            44
     380            4             0000            43
     381            4             0000            76
     382            4             0000           118
     383            4             0000           116
     384            4             0000           128
     385            4             0000           120
     386            4             0000           110
     387            4             0000           130
     388            4             0000            93
     389            4             0000            50
     390            1             0000            55
     391            4             0000            75
     392            2             0000           299
     393            4             0000           302
     394            2             0000           461
     395            3             0000           347
     396            2             0000           605
     397            4             0000           101
     398            4             0000           340
     399            4             0000            95
     400            2             0000           519
     401            2             0000           435
     402            1             0000          2996
     403            4             0000            91
     404            2             0000          1523
     405            4             0000           145
     406            2             0000           616
     407            2             0000           644
     408            2             0000           829
     409            2             0000           964
     410            4             0000            50
     411            2             0000          1214
     412            9             0000            53
     413            2             0000          1029
     414            1             0000          1470
     415            2             0000           583
     416            2             0000           736
     417            2             0000           876
     418            4             0000            63
     419            2             0000           845
     420            2             0000          2051
     421           72             0000            51
     422            2             0000          1755
     423            1             0000          2896
     424            2             0000          1186
     425            2             0000          1759
     426            2             0000          1564
     427            1             0000          2847
     428            2             0000          1244
     429            4             0000           111
     430            1             0000          3014
     431            1             0000          1503
     432            2             0000          1162
     433            2             0000          1330
     434            2             0000          1429
     435            9             0000            73
     436            1             0000          2164
     437            2             0000           863
     438            2             0000          1250
     439            2             0000           903
     440            1             0000          2658
     441            4             0000            80
     442            2             0000          2683
     443           48             0000            67
     444            1             0000          2134
-----------------------------------------------------------
Total missing data for population    2:        90048

