Missing data from input file OCQNeestimator_2019_age1.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_OCQ_397]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4             0000            30
       2            4             0000            29
       3          231             0000            29
       4            4             0000            32
       5          135             0000            30
       6            4             0000            37
       7            4             0000            28
       8          320             0000            21
       9            4             0000            30
      10            4             0000            36
      11            4             0000            21
      12           36             0000            20
      13          189             0000            26
      14          152             0000            21
      15           76             0000            20
      16          273             0000            18
      17          373             0000            30
      18           22             0000            20
      19           22             0000            38
      20          231             0000            26
      21          146             0000            52
      22           78             0000            27
      23            4             0000            44
      24           80             0000            26
      25            4             0000            24
      26          245             0000            19
      27            4             0000            25
      28          231             0000            14
      29            4             0000            42
      30            4             0000           103
      31            4             0000            58
      32           36             0000            28
      33            4             0000            49
      34            2             0000           108
      35            4             0000            52
      36            4             0000            49
      37            4             0000            57
      38            4             0000            28
      39            4             0000            46
      40          218             0000            37
      41            4             0000            45
      42            4             0000            56
      43            4             0000            52
      44            4             0000            69
      45            4             0000            35
      46            4             0000           116
      47            4             0000            44
      48            4             0000            30
      49            4             0000            39
      50            4             0000            37
      51            4             0000            79
      52            4             0000            80
      53            4             0000            29
      54           75             0000            34
      55          192             0000            27
      56            4             0000            36
      57            4             0000            41
      58            4             0000            21
      59          367             0000            30
      60           18             0000            32
      61            4             0000            19
      62            4             0000            32
      63            7             0000            36
      64          287             0000            31
      65            4             0000            28
      66          287             0000            26
      67            4             0000            36
      68           22             0000            26
      69            4             0000            61
      70            4             0000            27
      71            4             0000            43
      72            4             0000            32
      73          170             0000            25
      74           22             0000            34
      75            4             0000            31
      76            4             0000            40
      77            4             0000            29
      78          287             0000            29
      79           77             0000            25
      80           77             0000            30
      81           77             0000            52
      82            4             0000           130
      83            4             0000            56
      84            4             0000            62
      85           72             0000            36
      86           80             0000            45
      87            4             0000            28
      88            4             0000            23
      89            4             0000           106
      90            4             0000            30
      91            4             0000            53
      92          320             0000            35
      93           36             0000            25
      94          241             0000            33
      95            4             0000            58
      96           80             0000            34
      97            4             0000            47
      98            4             0000            35
      99          320             0000            32
     100            4             0000            33
     101          105             0000            20
     102          266             0000            30
     103           76             0000            38
     104          135             0000            17
     105          218             0000            16
     106            9             0000            24
     107           17             0000            27
     108           70             0000            22
     109          105             0000            44
     110          135             0000            20
     111           75             0000            27
     112          372             0000            19
     113          105             0000            15
     114            4             0000            28
     115           98             0000            78
     116            4             0000            55
     117            4             0000            25
     118           62             0000            31
     119           51             0000            17
     120           22             0000            24
     121          474             0000            15
-----------------------------------------------------------
Total missing data for population    1:         4547

