,(Intercept),Drainage,SampDist,SampSize,TreatMonth,YearSinceTreat,SampDist:SampSize,TreatMonth:YearSinceTreat,df,logLik,AICc,delta,weight
28,125.929694535522,0.0356077080527042,3.10464573929072,NA,+,5.30797309829223,NA,NA,10,-108.474064489055,273.614795644776,65.791415619029,1.29880818719599e-15
89,753.5,NA,NA,NA,+,-247.5,NA,+,12,-98.1566426051865,298.313285210373,90.489905184626,5.62776757291401e-21
93,267.821166277946,NA,NA,2.13017032334234,+,-121.819950922802,NA,+,13,-86.0017337693266,319.336800871986,111.51342084624,1.53157310626325e-25
91,882.325847616663,NA,11.3005129488302,NA,+,-313.042975103214,NA,+,13,-98.0436606676636,343.420654668661,135.597274642914,9.02392190750174e-31
90,739.397657158953,-0.00940469679296304,NA,NA,+,-237.940125709953,NA,+,13,-98.1493065383572,343.631946410048,135.808566384301,8.119212527975e-31
95,-144.414741679758,NA,-29.9277733087421,2.4418338857899,+,70.1492844523087,NA,+,14,-82.736803906308,403.473607812616,195.650227786869,8.22360500322485e-44
94,307.236810503621,0.0315725531690978,NA,2.16493961830457,+,-151.862062816418,NA,+,14,-85.6566861737989,409.313372347598,201.489992321851,4.43581561621707e-45
92,868.730285889474,-0.00865085368188247,11.2458106127593,NA,+,-303.932108786371,NA,+,14,-98.0373735247006,434.074747049401,226.251367023654,1.86255577543876e-50
96,-107.252212531467,0.035618779939037,-30.4580690857794,2.48658151522881,+,39.658620287989,NA,+,15,-82.0815313531737,674.163062706347,466.3396826806,1.36645066777914e-102
127,-157.371982322614,NA,-32.3507820870743,2.41339112603003,+,78.2697566833194,0.0149818868221251,+,15,-82.7180111496596,675.436022299319,467.612642273572,7.23059928282324e-103
128,-134.521382824701,0.0387306120411621,-36.2108776418586,2.42350474254017,+,56.1195018254055,0.0352841590401501,+,16,-81.9735831346313,Inf,Inf,0
