,(Intercept),Drainage,EstLarvalAge,SampDist,SampSize,TreatMonth,YearSinceTreat,EstLarvalAge:YearSinceTreat,SampDist:SampSize,TreatMonth:YearSinceTreat,df,logLik,AICc,delta,weight
64,-27.1213029202906,0.0429346486002487,19.1893659683367,-6.98470643231571,0.633015250396474,+,-3.2764901008309,NA,NA,NA,12,-90.8522186037405,250.275865778909,30.2358666430039,9.65943504584244e-08
160,-33.6051782449552,0.0436660511236649,20.1561240615035,-5.82548633414175,0.643951069164051,+,NA,NA,-0.00645618845001029,NA,12,-90.9922116503992,250.555851872227,30.5158527363215,8.39756779735421e-08
59,-13.4816742679802,NA,36.053415585454,NA,0.600490737479347,+,-15.9340852574752,NA,NA,NA,10,-103.20137909555,250.847202635545,30.8072034996397,7.25917898030158e-08
50,12.7580167447558,0.0463504683813766,NA,NA,NA,+,15.28712829129,NA,NA,NA,9,-107.755972765419,251.511945530837,31.4719463949315,5.2064346155974e-08
124,-65.9682352455965,0.0334410222052387,64.0939890629523,NA,0.567293635285828,+,21.9048089893604,-27.8615316927959,NA,NA,12,-91.7031928498356,251.9778142711,31.9378151351943,4.1245664719391e-08
20,5.51871933581077,0.0399514300716439,23.2414411671357,NA,NA,+,NA,NA,NA,NA,9,-108.049336634244,252.098673268489,32.058674132583,3.8827024458811e-08
19,16.2457413249211,NA,28.1634069400631,NA,NA,+,NA,NA,NA,NA,8,-111.746521793708,252.583952678326,32.5439535424202,3.04619025442839e-08
190,1.03550363011727,0.0451317225777209,NA,-11.8564882633657,0.593212173288529,+,-4.63400384671467,NA,0.0158369480375126,NA,12,-92.0721419228976,252.715712417224,32.6757132813183,2.85197530446128e-08
22,34.1690438328071,0.0397953941815258,NA,2.3370106274912,NA,+,NA,NA,NA,NA,9,-108.420492288,252.840984576001,32.8009854400953,2.67881829907245e-08
61,30.6298964987063,NA,NA,-5.57725046473197,0.662410427274855,+,-17.5593097701753,NA,NA,NA,10,-104.226070263626,252.896584971696,32.8565858357903,2.60537225777662e-08
21,50.4977860700527,NA,NA,4.76106964973645,NA,+,NA,NA,NA,NA,8,-111.910225761167,252.911360613243,32.8713614773378,2.58619516019076e-08
31,-28.1021051172013,NA,34.7704723157782,-1.74108269351291,0.549995943564999,+,NA,NA,NA,NA,10,-104.348582194164,253.141608832772,33.1016096968659,2.3049607214458e-08
49,48.0995709828393,NA,NA,NA,NA,+,2.68034321372854,NA,NA,NA,8,-112.21872814129,253.528365373488,33.4883662375826,1.89967983742963e-08
123,-73.5389053145286,NA,94.3791567784619,NA,0.625587069335927,+,35.7604442163009,-52.7538261816201,NA,NA,11,-99.6870401202479,254.374080240496,34.3340811045902,1.24461709930448e-08
157,0.0219441450473988,NA,NA,2.7682519780095,0.777635625461253,+,NA,NA,-0.0486003567892325,NA,10,-105.16035830381,254.765161052064,34.7251619161586,1.02356079765491e-08
23,-9.65389259481231,NA,47.4338318247368,9.05801406945664,NA,+,NA,NA,NA,NA,9,-110.710317414274,257.420634828548,37.380635692642,2.71321894018862e-09
52,-20.9866809036621,0.0457347414276932,26.0119076831969,NA,NA,+,16.4790944371725,NA,NA,NA,10,-107.105150155245,258.654744754935,38.6147456190296,1.46386583360644e-09
51,9.88824100222686,NA,29.0508080267725,NA,NA,+,4.19859917144598,NA,NA,NA,9,-111.701807445771,259.403614891543,39.363615755637,1.00666783098382e-09
24,-10.1399678699963,0.0367562878163339,35.9241198212603,5.7764324550988,NA,+,NA,NA,NA,NA,10,-107.482826324647,259.410097093739,39.3700979578331,1.00341040045383e-09
53,49.6627992766999,NA,NA,4.71155206942352,NA,+,0.675912247532301,NA,NA,NA,9,-111.909111375565,259.81822275113,39.7782236152248,8.18192016875741e-10
54,13.521803005906,0.0457382840200822,NA,0.895168561130718,NA,+,14.7397906267065,NA,NA,NA,10,-107.73974530572,259.923935055884,39.8839359199788,7.76068582769604e-10
63,-9.33955085109465,NA,31.8184999811517,-2.22140612205858,0.629802208290736,+,-16.2109513601557,NA,NA,NA,11,-103.096581090773,261.193162181547,41.1531630456412,4.11425242668008e-10
159,-57.6961859228291,NA,41.7709229888442,11.1297745191209,0.84021361933869,+,NA,NA,-0.0722698111878157,NA,11,-103.420649875016,261.841299750033,41.8013006141271,2.97542939511083e-10
189,24.5138383550895,NA,NA,-2.74635007837352,0.72488065412956,+,-16.2524959894625,NA,-0.0167767312203814,NA,11,-104.182626074198,263.365252148396,43.3252530124902,1.38876125158726e-10
128,-54.0381836185274,0.0376566496455549,48.9822959768285,-6.64344544695104,0.648195406400199,+,20.5454833628226,-25.963821077271,NA,NA,13,-88.4944429274729,263.655552521613,43.615553385707,1.20112903538823e-10
55,-11.4381337579419,NA,47.5265811311121,8.96757953369299,NA,+,1.34911314985051,NA,NA,NA,10,-110.705315638079,265.855075720602,45.8150765846965,3.99916452591575e-11
115,-37.6531610376897,NA,75.7493392070485,NA,NA,+,46.4736426823299,-42.4503775493555,NA,NA,10,-110.839097784972,266.122640014388,46.0826408784827,3.49839161355148e-11
127,-69.040954427088,NA,89.7507974079709,-2.72255461406993,0.661752994308058,+,35.9191791910076,-53.2620941811534,NA,NA,12,-99.4623893165802,267.496207204589,47.4562080686835,1.76036245605818e-11
192,-27.3780271952607,0.0429121696222999,19.2549180056603,-6.88712848629852,0.634914233914725,+,-3.23974086797505,NA,-0.000526655989320172,NA,13,-90.8520764247714,268.370819516209,48.3308203803039,1.13679576563061e-11
56,-29.0832767277905,0.0425791646259758,35.081485873609,4.30032756792275,NA,+,14.265325454176,NA,NA,NA,11,-106.782397254663,268.564794509325,48.5247953734199,1.03171872479952e-11
116,-32.1366579500449,0.0436450730111873,38.488752074317,NA,NA,+,27.087271181466,-11.215609644607,NA,NA,11,-107.025652723897,269.051305447794,49.0113063118883,8.08940920167779e-12
191,-32.0858566359509,NA,36.8579467424376,5.90841937660111,0.792311895672643,+,-12.4898225572612,NA,-0.0450298535209363,NA,12,-102.77170984599,274.114848263408,54.0748491275021,6.43253936827045e-13
119,-59.4306844377775,NA,94.6535528353563,9.02093019471491,NA,+,43.8955553250476,-42.7399245344469,NA,NA,11,-109.734021921282,274.468043842564,54.428044706658,5.39121941450218e-13
305,5.20000000000009,NA,NA,NA,NA,+,36.9999999999999,NA,NA,+,12,-102.967111572764,274.505651716956,54.4656525810506,5.29079045235826e-13
313,-4.78095157228132,NA,NA,NA,0.757175636517897,+,4.85445252237653,NA,NA,+,13,-95.0238381024708,276.714342871608,56.6743437357028,1.75351453774948e-13
120,-43.8258173973264,0.0396887554686043,51.5791523794032,4.63487548330298,NA,+,27.5199987778024,-14.1957305542177,NA,NA,12,-106.652529759152,281.876488089733,61.8364889538278,1.32728375600371e-14
255,-89.8184427697131,NA,94.0515604035419,4.85136132089935,0.81286645496792,+,39.0315788036413,-52.9017049928051,-0.0419319740273894,NA,13,-99.0557800895454,284.778226845758,64.7382277098519,3.11070777343447e-15
314,-11.2432436999963,0.0313887953874088,NA,NA,0.828540425002224,+,-4.36746040606502,NA,NA,+,14,-87.5229040405497,287.045808081099,67.0058089451939,1.00106022415092e-15
256,-56.4479873936587,0.0374318375683404,49.7059551409171,-5.77425310541497,0.665151290479698,+,20.9848289100371,-26.0865482199457,-0.00468257252350184,NA,14,-88.4802642799894,288.960528559979,68.9205294240732,3.84311992069518e-16
306,0.961238915822777,0.0240963162408005,NA,NA,NA,+,32.2464539779512,NA,NA,+,13,-101.419352894495,289.505372455656,69.4653733197505,2.92666212813339e-16
309,6.53387144115052,NA,NA,-6.66935720575285,NA,+,37,NA,NA,+,13,-102.675603449543,292.017873565753,71.9778744298477,8.3327797681483e-17
307,-12.1879356568365,NA,12.7511528150134,NA,NA,+,38.1591957104557,NA,NA,+,13,-102.776163594828,292.218993856323,72.1789947204176,7.53558872356624e-17
315,-23.4266472212646,NA,13.6544016727268,NA,0.759152374779368,+,6.01184024097834,NA,NA,+,14,-94.5320776723741,301.064155344748,81.0241562088428,9.04512919802718e-19
317,-5.40621467920161,NA,NA,2.07882111782742,0.773068655255152,+,4.17972163598581,NA,NA,+,14,-94.9672527394052,301.93450547881,81.8945063429049,5.85356768261677e-19
310,2.38623397598156,0.0288616950245592,NA,-11.3163425492363,NA,+,31.3063747087915,NA,NA,+,14,-100.476099614926,312.952199229851,92.9122000939458,2.37114899598662e-21
308,-22.2725362584308,0.0253862446221291,16.8717010332613,NA,NA,+,33.5257772912037,NA,NA,+,14,-101.030116024211,314.060232048421,94.0202329125156,1.36255039879667e-21
371,-36.6837835363061,NA,35.4550865305374,NA,NA,+,56.3833440161156,-17.7761697646735,NA,+,14,-102.500657609961,317.001315219922,96.9613160840166,3.13115436746853e-22
311,-4.70852838949142,NA,8.05984111939779,-5.41082023025548,NA,+,37.7327128290362,NA,NA,+,14,-102.608107618304,317.216215236608,97.176216100702,2.81215680645813e-22
316,-37.616166733246,0.0329025434295337,19.0848929677694,NA,0.834744951813916,+,-3.19450170649249,NA,NA,+,15,-85.342828302452,320.685656604904,100.645657468998,4.96203602073139e-23
318,-10.6284887407667,0.0323689430760267,NA,-2.71478450127032,0.810013773787015,+,-3.77427625759222,NA,NA,+,15,-87.328174869298,324.656349738596,104.616350602691,6.81451346425866e-24
379,-65.9987894886252,NA,52.5805173437843,NA,0.801589361869829,+,35.4197380439185,-30.4378833132529,NA,+,15,-92.575616609585,335.15123321917,115.111234083264,3.58508834394165e-26
319,-31.2560513092544,NA,18.2362375538038,5.22878612659005,0.799790838732713,+,4.70308326051154,NA,NA,+,15,-94.2086869032782,338.417373806556,118.377374670651,7.00271489292387e-27
445,-4.86822451470568,NA,NA,1.22432811685237,0.743510032205142,+,5.3620096396306,NA,0.00855148741179567,+,15,-94.9532412655033,339.906482531007,119.866483395101,3.3259107736453e-27
312,-9.93211623937708,0.028962940479556,8.82077480698496,-9.95528786343987,NA,+,32.0882903605772,NA,NA,+,15,-100.375231626242,350.750463252485,130.710464116579,1.46950172204533e-29
372,-36.415852949787,0.024302300900926,30.2035642542873,NA,NA,+,44.5661504840123,-10.5760084024858,NA,+,15,-100.918432188463,351.836864376925,131.79686524102,8.53613141707233e-30
375,-30.5801993431921,NA,32.4087779740907,-6.30376226787844,NA,+,57.8283434173983,-19.6702999617291,NA,+,15,-102.268644783509,354.537289567018,134.497290431113,2.21243852999664e-30
380,-67.833191833255,0.0308606540117818,47.1821845300314,NA,0.861052655744987,+,18.858374640252,-22.2339145951217,NA,+,16,-82.7049507555627,378.743234844459,158.703235708553,1.22635718974284e-35
320,-38.4630077093821,0.0327199400337586,19.5964182645519,0.618145887918623,0.839129695973659,+,-3.29812905712757,NA,NA,+,16,-85.3321388494566,383.997611032246,163.957611896341,8.86428456379413e-37
446,-8.91321288998147,0.0330425154529286,NA,-5.71152208607823,0.710570015213477,+,0.068516603213664,NA,0.0289920955792343,+,16,-86.9817328827925,387.296799098918,167.256799963013,1.70307629234395e-37
383,-71.3955358662326,NA,55.3756016497874,4.34096861690826,0.834227882927882,+,33.5710855293135,-29.6490760499983,NA,+,16,-92.3067609005594,397.946855134452,177.906855998546,8.29094089824018e-40
447,-32.55929440851,NA,18.8144866158596,6.09673438235866,0.827207130205513,+,3.6569710541166,NA,-0.00768656087148867,+,16,-94.1972686932991,401.727870719932,181.687871584026,1.25189157556998e-40
376,-26.357651003271,0.0278079141523087,24.4452560475681,-10.3481622350246,NA,+,45.2336067227335,-12.646759161301,NA,+,16,-100.205289743825,413.743912820984,193.703913685078,3.07833817068668e-43
384,-68.1079862146213,0.0307966313426979,47.3376763399534,0.224096834517097,0.862614215837238,+,18.7972981206929,-22.2102131797313,NA,+,17,-82.7031260266553,505.406252053311,285.366252917405,3.83788771148568e-63
448,-36.3413094616982,0.0330020424908688,18.6391777639398,-0.876020176069879,0.793527591240239,+,-1.61415097464536,NA,0.0128803123197192,+,17,-85.2550580091203,510.510116018241,290.470116882335,2.99090270734367e-64
511,-73.0836552065353,NA,56.1617333559199,5.41220929664037,0.86818563306739,+,32.3333236966329,-29.7060029523769,-0.00950201740626214,+,17,-92.285654391658,524.571308783316,304.53130964741,2.64516685657637e-67
512,-66.252409683194,0.0310325622508347,46.4237129431342,-0.968965053704486,0.826012036706105,+,20.0261951873752,-22.0914999610828,0.0103028294086927,+,18,-82.6391060177017,885.278212035403,665.238212899498,1.24722336753709e-145
