,(Intercept),Drainage,EstLarvalAge,SampDist,SampSize,TreatMonth,YearSinceTreat,EstLarvalAge:YearSinceTreat,SampDist:SampSize,TreatMonth:YearSinceTreat,df,logLik,AICc,delta,weight
10,-21.4625842558488,0.0326864560263966,NA,NA,0.704186754692627,NA,NA,NA,NA,NA,4,-112.830528824457,236.32772431558,0,0.35208943804805
14,-17.4499494611015,0.0323191460405162,NA,-11.1907428258886,0.875673043926502,NA,NA,NA,NA,NA,5,-111.171343924973,236.628402135661,0.300677820081319,0.302943499749142
42,-9.05112747523872,0.0313884531410288,NA,NA,0.726575350983522,NA,-8.08797719991889,NA,NA,NA,5,-112.650699440308,239.587113166331,3.25938885075129,0.0690058168564911
12,-33.4359203519319,0.0318611904084058,11.9858524206272,NA,0.701726275450587,NA,NA,NA,NA,NA,5,-112.713367614152,239.712449514019,3.38472519843918,0.0648140648180785
46,-6.60357283569922,0.0311841589192365,NA,-11.0492054485403,0.893161083312797,NA,-7.10115812724089,NA,NA,NA,6,-111.008127760387,240.477793982313,4.15006966673363,0.0442055521443685
142,-28.9571599873154,0.0328790820387514,NA,-6.60948601426845,1.00782294404731,NA,NA,NA,-0.0301102154620216,NA,6,-111.059109210549,240.579756882636,4.25203256705586,0.0420083725632177
16,-11.1349110723107,0.0327187260926685,-6.09901566858557,-11.8109657173954,0.886429321151464,NA,NA,NA,NA,NA,6,-111.141239783003,240.744018027545,4.41629371196558,0.0386960827005676
9,26.5960824179377,NA,NA,NA,0.605759628716961,NA,NA,NA,NA,NA,3,-117.648139165875,242.796278331751,6.46855401617111,0.0138683355095221
44,-19.6574118947393,0.0309871874605545,8.71473060183114,NA,0.721357849775212,NA,-6.84940799067294,NA,NA,NA,6,-112.592089889193,243.645718239924,7.31799392434439,0.00906923817365917
13,30.2247844007751,NA,NA,-11.693856759978,0.786111395486371,NA,NA,NA,NA,NA,4,-116.559238583885,243.785143834436,7.45741951885634,0.00845853058875112
30,-14.9531194590146,0.0663153764105693,NA,-13.2404688655956,0.948422138847821,+,NA,NA,NA,NA,10,-100.074409959698,244.593264363841,8.26554004826096,0.00564694790026434
