NW_022638240.1	84_unloc.10
NW_022638241.1	84_unloc.11
NW_022638242.1	84_unloc.12
NW_022638243.1	84_unloc.13
NW_022638244.1	84_unloc.2
NW_022638245.1	84_unloc.3
NW_022638246.1	84_unloc.4
NW_022638247.1	84_unloc.5
NW_022638248.1	84_unloc.6
NW_022638249.1	84_unloc.7
NW_022638250.1	84_unloc.8
NW_022638251.1	84_unloc.9
NW_022638252.1	85_unloc.1
NW_022638253.1	85_unloc.2
NW_022638254.1	85_unloc.3
NW_022638255.1	85_unloc.4
NW_022638256.1	unplaced_scaffold_1000_arrow_ctg1
NW_022638257.1	unplaced_scaffold_1001_arrow_ctg1
NW_022638258.1	unplaced_scaffold_1002_arrow_ctg1
NW_022638259.1	unplaced_scaffold_1003_arrow_ctg1
NW_022638260.1	unplaced_scaffold_1004_arrow_ctg1
NW_022638261.1	unplaced_scaffold_1005_arrow_ctg1
NW_022638262.1	unplaced_scaffold_1006_arrow_ctg1
NW_022638263.1	unplaced_scaffold_1007_arrow_ctg1
NW_022638264.1	unplaced_scaffold_1008_arrow_ctg1
NW_022638265.1	unplaced_scaffold_1009_arrow_ctg1
NW_022638266.1	unplaced_scaffold_1010_arrow_ctg1
NW_022638267.1	unplaced_scaffold_1011_arrow_ctg1
NW_022638268.1	unplaced_scaffold_1012_arrow_ctg1
NW_022638269.1	unplaced_scaffold_1013_arrow_ctg1
NW_022638270.1	unplaced_scaffold_1014_arrow_ctg1
NW_022638271.1	unplaced_scaffold_1015_arrow_ctg1
NW_022638272.1	unplaced_scaffold_1016_arrow_ctg1
NW_022638273.1	unplaced_scaffold_1017_arrow_ctg1
NW_022638274.1	unplaced_scaffold_1018_arrow_ctg1
NW_022638275.1	unplaced_scaffold_1019_arrow_ctg1
NW_022638276.1	unplaced_scaffold_1020_arrow_ctg1
NW_022638277.1	unplaced_scaffold_1021_arrow_ctg1
NW_022638278.1	unplaced_scaffold_1022_arrow_ctg1
NW_022638279.1	unplaced_scaffold_1023_arrow_ctg1
NW_022638280.1	unplaced_scaffold_1024_arrow_ctg1
NW_022638281.1	unplaced_scaffold_1025_arrow_ctg1
NW_022638282.1	unplaced_scaffold_1026_arrow_ctg1
NW_022638283.1	unplaced_scaffold_1027_arrow_ctg1
NW_022638284.1	unplaced_scaffold_1028_arrow_ctg1
NW_022638285.1	unplaced_scaffold_1029_arrow_ctg1
NW_022638286.1	unplaced_scaffold_1030_arrow_ctg1
NW_022638287.1	unplaced_scaffold_1031_arrow_ctg1
NW_022638288.1	unplaced_scaffold_1032_arrow_ctg1
NW_022638289.1	unplaced_scaffold_1033_arrow_ctg1
NW_022638290.1	unplaced_scaffold_1034_arrow_ctg1
NW_022638291.1	unplaced_scaffold_1035_arrow_ctg1
NW_022638292.1	unplaced_scaffold_1036_arrow_ctg1
NW_022638293.1	unplaced_scaffold_1037_arrow_ctg1
NW_022638294.1	unplaced_scaffold_1038_arrow_ctg1
NW_022638295.1	unplaced_scaffold_1039_arrow_ctg1
NW_022638296.1	unplaced_scaffold_1040_arrow_ctg1
NW_022638297.1	unplaced_scaffold_1041_arrow_ctg1
NW_022638298.1	unplaced_scaffold_1042_arrow_ctg1
NW_022638299.1	unplaced_scaffold_1043_arrow_ctg1
NW_022638300.1	unplaced_scaffold_1044_arrow_ctg1
NW_022638301.1	unplaced_scaffold_1045_arrow_ctg1
NW_022638302.1	unplaced_scaffold_1046_arrow_ctg1
NW_022638303.1	unplaced_scaffold_1047_arrow_ctg1
NW_022638304.1	unplaced_scaffold_1048_arrow_ctg1
NW_022638305.1	unplaced_scaffold_1049_arrow_ctg1
NW_022638306.1	unplaced_scaffold_1050_arrow_ctg1
NW_022638307.1	unplaced_scaffold_1051_arrow_ctg1
NW_022638308.1	unplaced_scaffold_1052_arrow_ctg1
NW_022638309.1	unplaced_scaffold_1053_arrow_ctg1
NW_022638310.1	unplaced_scaffold_1054_arrow_ctg1
NW_022638311.1	unplaced_scaffold_1055_arrow_ctg1
NW_022638312.1	unplaced_scaffold_1056_arrow_ctg1
NW_022638313.1	unplaced_scaffold_1057_arrow_ctg1
NW_022638314.1	unplaced_scaffold_1058_arrow_ctg1
NW_022638315.1	unplaced_scaffold_1059_arrow_ctg1
NW_022638316.1	unplaced_scaffold_1060_arrow_ctg1
NW_022638317.1	unplaced_scaffold_1061_arrow_ctg1
NW_022638318.1	unplaced_scaffold_1062_arrow_ctg1
